#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-EUR
#Experiment: rcp85
#Model: MOHC-HadGEM2-ES_r1i1p1_rcp85_CLMcom-ETH-COSMO-crCLIM-v1-1_v1
#Variable: tas
#Variable_longname: mean near-surface air temperature
#Units: degC
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","NEU","WCE","EEU","MED","world"
"2006-01",4.973,7.65,-10.371,11.181,7.766
"2006-02",5.703,7.702,-8.887,11.416,7.904
"2006-03",4.249,8.557,-2.926,13.9,7.781
"2006-04",5.799,10.64,1.223,16.105,9.676
"2006-05",9.148,13.292,7.767,18.496,12.057
"2006-06",10.923,17.524,14.561,22.457,15.151
"2006-07",13.804,20.261,17.438,25.321,17.538
"2006-08",14.266,20.154,15.808,25.553,17.876
"2006-09",12.533,19.097,10.685,23.918,16.78
"2006-10",10.336,14.921,2.559,20.415,14.234
"2006-11",6.181,11.827,-7.512,17.49,11.066
"2006-12",2.774,7.416,-6.352,13.958,8.322
"2007-01",2.906,7.515,-8.895,12.285,7.442
"2007-02",3.117,7.38,-8.99,12.187,7.054
"2007-03",4.06,7.628,-4.536,12.564,7.955
"2007-04",4.888,10.258,-0.436,14.956,9.281
"2007-05",8.831,13.408,6.285,18.004,12.139
"2007-06",12.265,17.887,15.107,21.863,15.342
"2007-07",13.007,20.047,17.657,25.187,17.512
"2007-08",12.981,19.53,16.143,26.022,17.719
"2007-09",10.837,17.974,9.36,23.895,16.488
"2007-10",8.921,14.364,5.184,19.631,13.782
"2007-11",6.939,11.263,1.925,16.594,11.226
"2007-12",3.883,7.365,-5.694,13.947,9.051
"2008-01",2.573,6.818,-9.756,10.879,7.022
"2008-02",2.468,7.16,-9.638,11.072,6.956
"2008-03",4.527,8.164,-2.978,12.802,8.049
"2008-04",5.75,11.322,2.36,15.187,9.924
"2008-05",7.658,14.006,7.736,18.818,12.228
"2008-06",10.864,17.893,13.986,22.524,15.343
"2008-07",13.777,21.914,15.435,25.679,18.129
"2008-08",12.716,21.142,14.809,26.476,18.103
"2008-09",12.292,18.447,9.804,24.015,16.894
"2008-10",10.048,15.589,4.26,20.318,14.61
"2008-11",7.23,11.645,-0.453,16.15,11.418
"2008-12",4.023,10.199,-4.68,13.528,9.153
"2009-01",4.467,9.274,-10.072,12.558,8.744
"2009-02",3.835,7.955,-6.512,11.603,7.621
"2009-03",3.905,9.128,-4.674,13.319,8.238
"2009-04",6.175,11.109,-0.227,15.696,9.852
"2009-05",7.883,14.343,9.719,18.656,12.273
"2009-06",10.875,18.835,13.766,23.109,15.581
"2009-07",13.803,21.7,15.345,26.22,18.243
"2009-08",14.511,22.6,13.56,26.485,18.715
"2009-09",13.379,20.466,9.663,24.134,17.296
"2009-10",10.841,16.998,4.687,20.852,14.891
"2009-11",7.356,12.963,-2.33,17.215,11.817
"2009-12",5.264,10.734,-7.078,15.349,9.692
"2010-01",2.37,9.352,-7.342,13.925,8.214
"2010-02",1.071,8.675,-8.676,13.657,7.119
"2010-03",0.929,8.479,-8.793,14.299,7.638
"2010-04",4.546,11.59,4.209,16.211,9.363
"2010-05",7.906,14.381,8.585,20.366,12.64
"2010-06",12.014,17.897,11.012,23.203,15.526
"2010-07",12.99,20.772,17.627,26.159,17.649
"2010-08",14.246,21.672,15.199,26.699,18.725
"2010-09",13.868,20.709,10.964,23.925,17.585
"2010-10",10.455,14.973,5.943,20.685,14.705
"2010-11",7.434,11.893,1.526,16.869,11.378
"2010-12",4.406,9.908,-2.361,13.761,9.343
"2011-01",4.134,9.781,-3.523,13.57,8.3
"2011-02",2.642,8.758,-6.676,12.743,7.408
"2011-03",2.894,9.629,-2.798,14.711,8.343
"2011-04",4.863,11.054,1.804,16.204,9.287
"2011-05",8.022,14.707,8.903,19.936,12.823
"2011-06",12.172,17.534,12.473,23.274,15.642
"2011-07",13.319,21.285,15.962,25.232,17.617
"2011-08",13.91,21.155,13.387,26.699,18.334
"2011-09",11.98,19.41,10.58,24.851,17.022
"2011-10",9.285,13.884,3.117,19.922,14.303
"2011-11",6.779,12.124,-1.163,16.038,11.255
"2011-12",5.605,10.453,-8.107,13.898,9.463
"2012-01",3.639,8.183,-13.481,12.104,7.901
"2012-02",3.344,6.26,-9.453,12.044,7.162
"2012-03",3.822,8.655,-5.137,13.862,8.557
"2012-04",5.246,10.004,-1.759,15.175,9.515
"2012-05",7.576,13.661,8.482,19.653,12.643
"2012-06",11.394,18.779,11.391,23.877,15.941
"2012-07",13.39,21.167,14.624,26.223,18.17
"2012-08",13.834,22.136,13.039,26.981,18.65
"2012-09",10.799,18.093,11.436,24.569,16.652
"2012-10",8.737,14.117,4.243,20.633,14.144
"2012-11",6.916,12.534,0.751,17.944,11.714
"2012-12",6.39,9.367,-2.775,13.597,9.292
"2013-01",1.374,5.952,-11.839,12.383,7.132
"2013-02",0.688,6.203,-12.775,13.222,6.903
"2013-03",3.307,7.002,-5.427,13.549,7.868
"2013-04",4.483,9.415,1.14,15.749,9.312
"2013-05",8.62,13.508,7.071,18.723,12.185
"2013-06",11.816,17.274,13.47,22.658,15.317
"2013-07",13.069,20.151,14.432,25.667,17.543
"2013-08",13.346,20.136,15.281,27.182,18.098
"2013-09",13.379,18.969,11.261,24.116,17.133
"2013-10",9.359,15.411,5.257,21.137,14.293
"2013-11",7.482,12.418,0.402,16.792,11.506
"2013-12",5.286,10.163,-2.516,14.211,9.31
"2014-01",3.109,9.368,-9.709,13.586,8.142
"2014-02",3.752,9.005,-6.118,13.211,7.642
"2014-03",4.379,9.01,-4.488,12.823,8.196
"2014-04",4.756,10.706,0.336,15.982,9.265
"2014-05",8.807,13.913,10.541,19.505,12.415
"2014-06",12.063,18.214,12.51,22.769,15.411
"2014-07",13.512,20.796,14.139,26.075,17.792
"2014-08",14.6,20.669,14.528,26.312,18.324
"2014-09",13.112,18.511,11.485,24.369,16.891
"2014-10",10.372,15.232,7.659,21.646,14.433
"2014-11",7.285,11.754,1.893,17.066,11.116
"2014-12",4.552,9.07,-9.941,13.881,8.767
"2015-01",2.012,6.82,-11.207,12.671,7.632
"2015-02",2.571,7.644,-8.413,13.038,7.319
"2015-03",2.39,9.074,-4.765,14.878,8.191
"2015-04",5.452,10.749,-1.025,17.026,10.148
"2015-05",7.838,14.081,5.771,21.151,12.792
"2015-06",10.589,17.069,13.583,23.349,15.184
"2015-07",12.985,20.251,14.984,26.621,17.583
"2015-08",14.773,22.207,12.571,27.03,18.792
"2015-09",12.677,19.14,8.962,24.501,17.002
"2015-10",9.894,13.756,2.61,20.355,14.146
"2015-11",7.224,10.643,-2.066,16.125,11.193
"2015-12",5.084,8.664,-6.792,13.366,9.339
"2016-01",3.672,5.467,-13.454,11.552,8.011
"2016-02",3.257,7.676,-8.424,11.469,7.619
"2016-03",3.883,8.633,-5.607,12.954,7.938
